,Плановая дата чтения,Фактическая дата чтения,Статья,Комментарий,YouTube к комментарию
1,,,Biliary Ultrasound,,
2,,,Ocular Ultrasound,,
3,,,The Critically Ill Infant,,
4,,,Spontaneous Bacterial Peritonitis (SBP),,
5,,,Acute Pancreatitis,,
6,,,Abdominal Cutaneous Nerve Entrapment Syndrome (ACNES),,
7,,,Small Bowel Obstruction,,
8,,,Cholangitis,,
9,,,Acute Cholecystitis,,
10,,,Bundle Branch Blocks,,
11,,,Disutility of Orthostatics in Volume Depletion,,
12,,,Pacemakers: Basic + Advanced Concepts,,
13,,,Infective Endocarditis,,
14,,,Amiodarone is Dead,,
15,,,Superficial Venous Thrombosis (SVT),,
16,,,Deep Venous Thrombosis (DVT),,
17,,,ST Elevation Myocardial Infarction in LBBB,,
18,,,Pericarditis,,
19,,,Air Embolism,,
20,,,Abdominal Aortic Aneurysm,,
21,,,Recent-Onset Atrial Fibrillation,,
22,,,Atrioventricular Nodal Reentrant Tachycardia,,
23,,,Ventricular Tachycardia,,
24,,,Aortic Dissection,,
25,,,A Simplified Approach to Tachydysrhythmias,,
26,,,Acute Pulmonary Edema,,
27,,,Congestive Heart Failure,,
28,,,Cardiogenic Shock,,
29,,,Dyspnea,,
30,NA,2019-05-19,[Apparent Life-Threatening Event (ALTE)](https://coreem.net/core/alte/),"Очень познавательно: о́лти, бру́и, сидс. Первый раз слышу эти аббревиатуры, разве что про SIDS слышал мимолетом. С первого раза плохо уложилось, нужно будет вернуться. Особенно с учетом того, что ALTE аж дважды здесь в списке. Также на Ютьюбчике посмотрел несколько видео. Да, буду читать с видосами, когда прочтешь без видосов, чего-то не хватает. Также комментарии к статье на Кориэме оказалсь познавательны.",[apparent life threatening event](https://youtube.com/search?q=apparent+life+threatening+event)
31,,,Chief Complaint – Chest Pain,,
32,,,Capnography,,
33,,,Petition to Retire the Surviving Sepsis Campaign Guidelines,,
34,,,Topics in Post-ROSC Care,,
35,,,Upper GI Bleeding,,
36,,,Occult Causes of Non-Response to Vasopressors,,
37,,,Surviving Sepsis 2017 Guidelines Overview,,
38,,,Common Tracheostomy Issues,,
39,,,Fluid Resuscitation,,
40,,,Post-Intubation Sedation and Analgesia,,
41,,,Rapid Sequence Intubation Medications,,
42,,,Procedural Sedation and Analgesia Resources,,
43,2019-05-30,,[Hypomagnesemia],,
44,,,Hyperglycemic Hyperosmolar Syndrome,,
45,,,Thyroid Storm,,
46,,,Severe Hyponatremia,,
47,,,Diabetic Ketoacidosis (DKA),,
48,,,Hypercalcemia,,
49,,,Hypocalcemia,,
50,,,Hypokalemia,,
51,,,Adrenal Crisis,,
52,,,Pharmacology of Insulins,,
53,,,Hyperkalemia,,
54,,,Hypothermia,,
55,,,Acute Mountain Sickness,,
56,,,Environmental Hyperthermia,,
57,,,Non-Traumatic Monocular Vision Loss,,
58,,,Prophylactic Antibiotics in Nasal Packing,,
59,,,Acute Rhinosinusitis,,
60,,,Temporomandibular Joint (TMJ) Dislocation,,
61,,,Herpes Keratitis,,
62,,,Epiglottitis,,
63,,,Acute Otitis Media,,
64,,,Traumatic Ocular Injuries,,
65,,,Peritonsillar Abscess,,
66,,,Neutropenic Fever,,
67,,,Emergency Management of Blast Crisis,,
68,,,Anaphylaxis,,
69,,,Angioedema,,
70,,,Quadriceps Tendon Rupture,,
71,,,Patella Tendon Rupture,,
72,,,Achilles Tendon Rupture,,
73,,,Biceps and Triceps Tendon Rupture,,
74,2019-05-30,,[Jones Fractures],,
75,,,Forearm Fractures,,
76,,,Metacarpal Fractures,,
77,,,Medial Collateral Ligament (MCL) Injuries,,
78,,,Anterior Cruciate Ligament (ACL) Injuries,,
79,,,Subtalar Dislocation,,
80,,,Septic Arthritis,,
81,,,Slipped Capital Femoral Epiphysis (SCFE),,
82,,,Pelvic Vertical Shear Fractures,,
83,,,Intertrochanteric Fractures,,
84,,,Lisfranc Injuries,,
